code,disease,disease_th,checkup,risk_reduction
BR001,Stroke,โรคหลอดเลือดสมอง (Stroke),• ตรวจเช็คร่างกาย โดยเฉพาะ ความดันโลหิต ระดับน้ำตาล และไขมันในเลือด เนื่องจากเป็นปัจจัยสำคัญในการเกิดโรค,• ออกกำลังกายสม่ำเสมอ เน้นระดับความเข้มข้นปานกลาง (zone 2-3) ระยะเวลาไม่ต่ำกว่า 30 นาที อย่างน้อย 150 นาทีต่อสัปดาห์ เพื่อส่งเสริมการทำงานของหัวใจ และทำให้ร่างกายใช้พลังงานไขมันและน้ำตาลได้ดี 
BR002,Alzheimer,โรคสมองเสื่อมอัลไซเมอร์ (Alzheimer's disease)​,• ตรวจเช็คร่างกาย โดยเฉพาะความดันโลหิต ระดับน้ำตาล และไขมันในเลือด,"• ระมัดระวังการเกิดอุบัติเหตุหรือบาดเจ็บที่ศีรษะ
• ผู้สูงอายุ ควรส่งเสริมการฝึกฝนสมอง เช่น อ่านหนังสือ คิดเลข พบปะพูดคุยกับผู้อื่น และเข้าสังคม "
CV001,CAD,โรคหลอดเลือดหัวใจ (Coronary Artery Disease),• ตรวจเช็คร่างกาย โดยเฉพาะ ความดันโลหิต ระดับน้ำตาล และไขมันในเลือด เนื่องจากเป็นปัจจัยสำคัญในการเกิดโรค,"• เลือกรับประทานอาหารที่มีประโยชน์ หลีกเลี่ยงอาหารที่มีน้ำตาลสูง และไขมันสูง โดยเฉพาะ ไขมันอิ่มตัว (saturated fat) และไขมันทรานส์ (trans fats)
• ควบคุมน้ำหนัก ให้มีค่าดัชนีมวลกาย (BMI) อยู่ระหว่าง 18.5 – 22.9"
CV003,DM,โรคเบาหวานชนิดที่ 2 (Type 2 diabetes),• ตรวจเช็คร่างกาย โดยเฉพาะ ระดับน้ำตาล (FBS) และ Hemoglobin A1c ในเลือด ,"• หลีกเลี่ยงอาหารที่มีน้ำตาลสูง และไขมันสูง โดยเฉพาะ ไขมันอิ่มตัว (saturated fat) และไขมันทรานส์ (trans fats)
• ควบคุมน้ำหนัก ให้มีค่าดัชนีมวลกาย (BMI) อยู่ระหว่าง 18.5 – 22.9 และเส้นรอบเอว ไม่เกิน 90 เซนติเมตร (36 นิ้ว) ในผู้ชาย หรือไม่เกิน 80 เซนติเมตร (32 นิ้ว) ในผู้หญิง"
CV004,HT,โรคความดันโลหิตสูง (Hypertension), • วัดความดันโลหิตสม่ำเสมอที่บ้าน (home blood pressure monitoring) ,• หลีกเลี่ยงอาหารรสเค็ม โดยบริโภคโซเดียม ไม่เกินวันละ 2 กรัม ซึ่งเทียบเท่ากับเกลือแกง (Sodium Chloride) 1 ช้อนชา (5 กรัม)
CV005,Dyslipidimia,ภาวะไขมันในเลือดสูง (Dyslipidemia),"• ตรวจเช็คร่างกาย โดยเฉพาะ ระดับไขมันในเลือด (Cholesterol, Triglyceride, LDL, HDL)
","• เลือกรับประทานอาหารที่มีประโยชน์ เน้นผัก ผลไม้ หลีกเลี่ยงอาหารที่มีไขมันสูง โดยเฉพาะ ไขมันอิ่มตัว (Saturated fat) และไขมันทรานส์ (trans fats)
• ควบคุมน้ำหนัก ให้มีค่าดัชนีมวลกาย (BMI) อยู่ระหว่าง 18.5 – 22.9 และเส้นรอบเอว ไม่เกิน 90 เซนติเมตร (36 นิ้ว) ในผู้ชาย หรือไม่เกิน 80 เซนติเมตร (32 นิ้ว) ในผู้หญิง"
DS001,Fatty_liver,โรคไขมันพอกตับที่ไม่ได้เกิดจากแอลกอฮอล์ (non-alcoholic fatty liver disease),• ตรวจเช็คร่างกาย โดยเฉพาะ การทำงานของตับ (Liver function test) ระดับน้ำตาล ไขมัน และอาจตรวจอัลตราซาวนด์ช่องท้องส่วนบน ตามแพทย์แนะนำ,"• เลือกรับประทานอาหารที่มีประโยชน์ หลีกเลี่ยงอาหารที่มีน้ำตาลสูง โดยเฉพาะน้ำตาลฟรุกโตส ซึ่งพบมากในน้ำตาลทราย ไซรัป และหลีกเลี่ยงอาหารไขมันสูง โดยเฉพาะ ไขมันอิ่มตัว (saturated fat) และไขมันทรานส์ (trans fats)
• ควบคุมน้ำหนัก ให้มีค่าดัชนีมวลกาย (BMI) อยู่ระหว่าง 18.5 – 22.9 และเส้นรอบเอว ไม่เกิน 90 เซนติเมตร (36 นิ้ว) ในผู้ชาย หรือไม่เกิน 80 เซนติเมตร (32 นิ้ว) ในผู้หญิง"
DS004,Gout,โรคเกาต์ (Gout),• ตรวจเช็คร่างกาย โดยเฉพาะ ระดับกรดยูริกในเลือด โดยระดับที่เกิน 7 มก./ดล. จะเริ่มมีความเสี่ยงต่อการเป็นโรคเกาต์,"•  หลีกเลี่ยงอาหารที่มีกรดยูริกสูง เช่น เครื่องในสัตว์ อาหารทะเล เครื่องดื่มแอลกอฮอล์ และเครื่องดื่มที่มีน้ำตาลฟรุกโตสสูง เช่น น้ำผลไม้ น้ำอัดลม
"
DS007,CKD,โรคไตเรื้อรัง (Chronic Kidney Disease),"• ตรวจเช็คร่างกาย โดยเฉพาะ การทำงานของไต (BUN, Cr) ตรวจปัสสาวะ",• หลีกเลี่ยงอาหารที่มีน้ำตาลสูง ไขมันสูง และอาหารรสเค็ม โดยบริโภคโซเดียม ไม่เกินวันละ 2 กรัม ซึ่งเทียบเท่ากับเกลือแกง (Sodium Chloride) 1 ช้อนชา (5 กรัม)
BR005,Depression,ภาวะซึมเศร้า (Depression),พบแพทย์เพื่อประเมินสภาวะจิตใจ,"• นอนหลับพักผ่อนให้เพียงพอ โดยแนะนำการนอนวันละ 7-9 ชั่วโมง ในผู้ใหญ่ อายุ > 18 ปี
• การทำสมาธิ (Mindfulness) เพื่อผ่อนคลายจิตใจ "