number,code,category,group,sex_exclude,disease,risk_disease,important,urgent,score,เหลือง,แดง,คะแนนเหลือง,คะแนนแดง,rank,signal,ปรับพฤติกรรม,supplement,risk_reduction,checkup,intro
1,BR001,brain,brain,,Stroke,โรคหลอดเลือดสมอง (stroke),3,3,9,1,2,9,18,3,,,สารสกัดจากใบแปะก๊วยร่วมกับ Omega 3 และ Vitamin E,• ออกกำลังกายสม่ำเสมอ เน้นระดับความเข้มข้นปานกลาง (zone 2-3) ระยะเวลาไม่ต่ำกว่า 30 นาที อย่างน้อย 150 นาที/สัปดาห์  ,"• พบแพทย์เพื่อตรวจคัดกรองโรค โดยเฉพาะเมื่ออายุ 45 ปีขึ้นไป เช่น ส่องกล้องตรวจลำไส้ใหญ่ (Colonoscopy) ทุก 5-10 ปี และตรวจอุจจาระ (Fecal immunochemical test, FIT) ทุกปี
",โรคหลอดเลือดสมอง เกิดจากสมองขาดเลือดไปเลี้ยง มีสาเหตุได้จากทั้งหลอดเลือดสมองตีบหรืออุดตัน (ischemic stroke) และ หลอดเลือดสมองแตก (hemorrhagic stroke) ทำให้เกิดอาการแขนขาอ่อนแรง หรือรุนแรงจนเสียชีวิตได้
2,BR002,brain,brain,,Alzheimer,โรคสมองเสื่อมอัลไซเมอร์ (Alzheimer's disease)​,3,2,6,1,2,6,12,13,หลงลืมบ่อย วอกแวก สมาธิสั้น ,,"Uridine monophosphate ร่วมกับวิตามินบีโอเมก้า 3 และวิตามิน D สารสกัดสมุนไพรอย่าง""พรมมิ"" และโสม","• ระมัดระวังการเกิดอุบัติเหตุหรือบาดเจ็บที่ศีรษะ
• ผู้สูงอายุ ควรส่งเสริมกิจกรรมการฝึกฝนสมอง เช่น อ่านหนังสือ คิดเลข หมากรุก พบปะพูดคุยกับผู้อื่น และเข้าสังคม ",• พบแพทย์เพื่อตรวจคัดกรองโรค โดยเฉพาะผู้หญิงเมื่ออายุ 40 ปีขึ้นไป เช่น mammogram หรือ breast MRI  ทุกปี,โรคสมองเสื่อมอัลไซเมอร์ เป็นโรคที่พบบ่อยที่สุดของกลุ่มอาการสมองเสื่อม เกิดจากการฝ่อตัวของสมอง และมีการสะสมของโปรตีนบางชนิดในสมอง ทำให้ความจำเสื่อมลง และมีกระบวนการคิดและการตัดสินใจผิดปกติจากเดิม
3,BR003,brain,brain,,Parkinson,โรคพาร์กินสัน (Parkinson's disease),2,2,4,1,2,4,8,,,,,,"• ตรวจเช็คร่างกาย โดยเฉพาะ ความดันโลหิต ระดับน้ำตาลในเลือด (FBS, HbA1c) ไขมันในเลือด (total cholesterol, LDL, HDL, triglycerides) และตรวจคลื่นไฟฟ้าหัวใจ (EKG) เนื่องจากเป็นปัจจัยสำคัญในการเกิดโรค",
4,BR004,brain,brain,,Migraine,โรคไมเกรน (migraine),2,2,4,1,2,4,8,,,,,,"• ตรวจเช็คร่างกาย โดยเฉพาะ ความดันโลหิต ระดับน้ำตาลในเลือด (FBS, HbA1c) ไขมันในเลือด (total cholesterol, LDL, HDL, triglycerides) 
• การตรวจคลื่นไฟฟ้าหัวใจ (EKG) และ การตรวจสมรรถภาพหัวใจ (Exercise stress test, EST) จะช่วยประเมินการทำงานของหัวใจเบื้องต้นได้",
5,BR005,brain,brain,,Depression,ภาวะซึมเศร้า (depression),2,3,6,1,2,6,12,12,เครียดบ่อย,,"-วิตามิน B complex ปริมาณสูง วิตามิน D
-Probiotics ที่เป็นชนิด gut-brain axis เช่น L.helveticus หรือ B.longum","• นอนหลับพักผ่อนให้เพียงพอ โดยแนะนำการนอนวันละ 7-9 ชั่วโมง ในผู้ใหญ่ อายุ > 18 ปี
• การทำสมาธิ (Mindfulness) เพื่อผ่อนคลายจิตใจ ","• พบแพทย์เพื่อตรวจคัดกรองโรค เช่น เอกซเรย์คอมพิวเตอร์แบบใช้ปริมาณรังสีต่ำ  (low-dose computed tomography, LDCT) โดยเฉพาะผู้ที่อายุ 50 ปี และมีประวัติสูบบุหรี่หนัก พิจารณาตรวจทุกปี",ภาวะซึมเศร้า พบได้ทุกช่วงวัย ส่วนใหญ่เป็นการตอบสนองทางอารมณ์ที่พบได้เป็นปกติต่อเหตุการณ์ร้ายแรง เช่นความสูญเสียต่างๆ แต่ผู้ที่มีภาวะซึมเศร้าที่รุนแรงหรือเป็นโรคซึมเศร้า ส่วนหนึ่งเกิดจากความผิดปกติของระบบสารสื่อประสาทในสมอง หรือความผิดปกติของฮอร์โมน
1,CS001,cancer,chest_abdo,,CA_colorectal,มะเร็งลำไส้ (colorectal cancer),3,3,9,1,2,9,18,1,กินปิ้งย่างบ่อย,,Probiotic คู่กับใยอาหาร เช่น PHGG ช่วยส่งเสริมสุขภาพลำไส้ ,"• หลีกเลี่ยงอาหารไขมันสูง อาหารปิ้งย่างหรือผ่านกรรมวิธีปรุงแต่ง เช่น ไส้กรอก เบคอน 
• เนื้อสัตว์แดง แนะนำไม่เกิน 500 g/สัปดาห์ (สเต๊ก 1 ชิ้น ประมาณ 200-300 g) และเลือกเนื้อขาวเป็นหลัก เช่น เนื้อปลา ไก่
","• ตรวจเช็คร่างกาย โดยเฉพาะ ระดับน้ำตาล (FBS) และ Hemoglobin A1c (HbA1c)ในเลือด
• ค่า FBS 100-125 mg/dl จะเรียกว่า ภาวะก่อนเบาหวาน (Prediabetes) ซึ่งจะเสี่ยงสูงต่อการเป็นเบาหวานในอนาคต",มะเร็งลำไส้ใหญ่และทวารหนัก เป็นมะเร็งพบบ่อยเป็นอันดับที่ 3 ของคนไทย อาการมีได้ตั้งแต่การขับถ่ายผิดปกติ ถ่ายอุจจาระเป็นมูกเลือด หรือเป็นเลือดแดงสด จนถึง ซีด เบื่ออาหารและน้ำหนักลดโดยไม่ทราบสาเหตุ
2,CS002,cancer,chest_abdo,,CA_lung,มะเร็งปอด (lung cancer),3,3,9,1,2,9,18,5,ไอบ่อย,,NAC  หรือ EGCG+ Quercitin,"• งดสูบบุหรี่ และหลีกเลี่ยงควันบุหรี่มือสอง
• หลีกเลี่ยงการสัมผัสสารพิษและมลภาวะในสิ่งแวดล้อม", • วัดความดันโลหิตสม่ำเสมอที่บ้าน (home blood pressure monitoring) ถ้าผิดปกติควรตรวจเช็คร่างกายเพิ่ม โดยความดันที่สูงกว่า 140/90 mmHg จะวินิจฉัย หรือเสี่ยงสูงที่จะเป็นโรคความดันโลหิตสูง,มะเร็งปอด เป็นโรคมะเร็งที่พบบ่อย โดยพบเป็นอันดับ 2 ในเพศชาย และพบบ่อยเป็นอันดับ 4 ในเพศหญิง สาเหตุหลักคือการสูบบุหรี่ โดยผู้สูบบุหรี่จะมีความเสี่ยงที่จะเป็นมะเร็งปอดสูงขึ้น 10-30 เท่า
3,CS003,cancer,urogenital,,CA_breast,มะเร็งเต้านม (breast cancer),3,3,9,1,2,9,18,2,คลำเต้านมด้วยตนเอง,,สาร Indole-3-Carbinol หรือ I3C ,"• สังเกตความผิดปกติ และคลำเต้านมด้วยตนเองเป็นประจำ
• ควบคุมน้ำหนัก ให้มีค่า BMI อยู่ระหว่าง 18.5 – 22.9","• ตรวจเช็คร่างกาย โดยเฉพาะ การทำงานของไต (BUN, Cr) และตรวจ urine test ดูโปรตีน (albumin) ในปัสสาวะ",มะเร็งเต้านม อาการที่พบบ่อยที่สุดคือคลำได้ก้อนที่เต้านม อาจพบความผิดปกติของหัวนม เช่น หัวนมบุ๋ม หรือมีเลือดออก และอาจพบต่อมน้ำเหลืองใต้รักแร้โตจากการแพร่กระจาย
4,CS004,cancer,urogenital,F,CA_prostrate,มะเร็งต่อมลูกหมาก (prostate cancer),3,3,9,1,2,9,18,15,,,สารสกัดปาล์มใบเลื่อย (Saw Palmetto) ร่วมกับ Zinc จ,• เลือกรับประทานอาหารที่มีประโยชน์ เน้นผัก ผลไม้ อาหารที่มีกากใยมาก หลีกเลี่ยงอาหารที่ผ่านกรรมวิธีปรุงแต่ง (เช่น ไส้กรอก เบคอน),"• ตรวจเช็คร่างกาย โดยเฉพาะ ระดับไขมันในเลือด (total cholesterol, LDL, HDL, triglycerides) 
",มะเร็งต่อมลูกหมากเป็นมะเร็งที่เติบโตช้า จึงมักจะไม่มีอาการในระยะเริ่มแรก ส่วนใหญ่อาการที่เกิดขึ้นจะคล้ายกับอาการของต่อมลูกหมากโตธรรมดา จึงอาจละเลยและมักจะตรวจพบเมื่อเป็นมากหรือมะเร็งมีการลุกลามแล้ว
5,CS005,cancer,chest_abdo,,CA_pancreas,มะเร็งตับอ่อน (pancreatic cancer),3,3,9,1,2,9,18,16,,,"อาหารเสริมพวกซัลโฟราเฟนที่อยุ่ในสารสกัดบลอคโครี่จะขับให้สารพิษออกจากปัสสาวะ Arabimoxylanหรือ Beta 1,6 Glucan ",• งดสูบบุหรี่ การสูบบุหรี่เพิ่มความเสี่ยงมะเร็งตับอ่อนถึง 2 เท่า,ตรวจเช็คร่างกาย โดยเฉพาะ คลื่นไฟฟ้าหัวใจ (EKG),มะเร็งตับอ่อน พบได้ไม่บ่อยนัก อาการเริ่มแรกมักไม่จำเพาะเจาะจง อาจมีเพียงอาการปวดท้องหรือไม่มีอาการเลย มักมาพบแพทย์เมื่อก้อนมีขนาดใหญ่หรือมีการลุกลาม ทำให้มีอัตราเสียชีวิตสูง
6,CS006,cancer,urogenital,M,CA_ovary,มะเร็งรังไข่ (ovarian cancer),3,3,9,1,2,9,18,17,,,"วิตามิน D3 และ Tocotrienol , Inositol หรือวิตามินบี 8 ร่วมกับ Folic acid ","• ควบคุมน้ำหนัก ให้มีค่าดัชนีมวลกาย (BMI) อยู่ระหว่าง 18.5 – 22.9
• ปรึกษาแพทย์เมื่อมีการใช้ยากลุ่มฮอร์โมน","• ตรวจเช็คร่างกาย โดยเฉพาะ การทำงานของตับ (Liver function test) ระดับน้ำตาล ไขมันในเลือด 
• การตรวจอัลตราซาวนด์ช่องท้องส่วนบน และ FibroScan (transient elastography) จะช่วยดูลักษณะที่ผิดปกติของตับได้",มะเร็งรังไข่เป็นมะเร็งของอวัยวะสืบพันธุ์สตรีพบได้บ่อย ส่วนใหญ่มักมาพบแพทย์ด้วยอาการ ท้องโตอืดขึ้น เนื่องจากมีน้ำหรือมีก้อนเนื้องอกใหญ่ในช่องท้อง ซึ่งมักเป็นอาการของโรคที่แพร่กระจายไปในช่องท้องแล้ว 
1,CV001,cardiovascular,cardiovascular,,CAD,โรคหลอดเลือดหัวใจ (coronary artery disease),3,3,9,1,2,9,18,4,เจ็บหน้าอก,เปลี่ยนมาบริโภคน้ำมันที่ดีต่อหัวใจ เช่น น้ำมันรำข้าว,"Tocotrienol หรือ Omega 3  ร่วมกับการมี Coenzyme ที่เพิ่มประสิทธิภาพการทำงาน ได้แก่ Vit B6, Zn, Mg, CoQ10 ลดการอักเสบ","• หลีกเลี่ยงอาหารที่มีน้ำตาลสูง และไขมันสูง โดยเฉพาะ ไขมันอิ่มตัวและไขมันทรานส์  แนะนำน้ำมันที่ดีต่อหัวใจ เช่น น้ำมันรำข้าว
• ควบคุมน้ำหนัก ให้มี BMI อยู่ระหว่าง 18.5 – 22.9 
",• พบแพทย์เพื่อปรึกษาและประเมินสุขภาพจิต,โรคหลอดเลือดหัวใจ หมายถึง ภาวะที่หลอดเลือดแดงที่เลี้ยงหัวใจตีบหรือตัน ทำให้กล้ามเนื้อหัวใจขาดเลือด จะมีอาการเจ็บหน้าอก และอาจมีภาวะหัวใจวาย หรือเสียชีวิตได้
2,CV002,cardiovascular,cardiovascular,,Atrial_fibrillation,ภาวะหัวใจห้องบนเต้นระริก (atrial fibrillation)​,3,3,9,1,2,9,18,10,ใจสั่น,,"Taurine, Magnesium และ Potassium","• คอยสังเกตอาการใจสั่นผิดปกติ ซึ่งอาจเป็นผลมาจากหัวใจเต้นผิดจังหวะ
• เลือกใช้ smart watch ที่ monitor คลื่นไฟฟ้าหัวใจได้",• พบแพทย์เพื่อตรวจร่างกาย และประเมิน Cognitive assessment ซึ่งเป็นการประเมินหน้าที่ของสมองด้านสติปัญญา,"ภาวะหัวใจห้องบนเต้นระริก เป็นภาวะหัวใจเต้นผิดจังหวะ (arrhythmia) ชนิดที่พบได้บ่อยที่สุด ทำให้หัวใจเต้นเร็วและไม่สม่ำเสมอ อาจเกิดภาวะแทรกซ้อน เช่น เกิดลิ่มเลือดในหัวใจ และอาจหลุดไปอุดตันหลอดเลือดแดงในอวัยวะต่าง ๆ โดยเฉพาะหลอดเลือดสมอง ซึ่งทำให้เกิดอัมพาต แขนขาอ่อนแรงเฉียบพลันได้ 
"
3,CV003,cardiovascular,cardiovascular,,DM,โรคเบาหวานชนิดที่ 2 (type 2 diabetes),3,2,6,1,2,6,12,6,กินหวานเยอะ,เลือกใช้สารให้ความหวานแทนน้ำตาล ในขณะเดียวกัน สารให้ความหวานแทนน้ำตาลบางชนิดมีรายงานการสนับสนุนเบาหวานเชานเดียวกัน สารให้ความหวานที่คุณควรเลือด เช่น สตีวิโอไซด์ (หญ้าหวาน) หรือน้ำตาลหล่อฮั้งก้วย,"- สารสกัดจาก Black Teaหรือผักเชียงดา (Gymnema Sylvestre) 
- แร่ธาตุ Chromium/Vanadium","• หลีกเลี่ยงอาหารที่มีน้ำตาลสูง และไขมันสูง โดยเฉพาะ ไขมันอิ่มตัว และไขมันทรานส์
• ควบคุมน้ำหนัก ให้มี BMI 18.5 – 22.9 และเส้นรอบเอว ไม่เกิน 90 ซม. (36 นิ้ว) ในผู้ชาย หรือ 80 ซม.(32 นิ้ว) ในผู้หญิง",• ตรวจเช็คร่างกาย โดยเฉพาะ ระดับกรดยูริกในเลือด โดยระดับกรดยูริกในเลือดที่เกิน 7 มก./ดล. จะเริ่มมีความเสี่ยงต่อการเป็นโรคเกาต์,โรคเบาหวานชนิดที่ 2 เป็นโรคที่พบระดับน้ำตาลในเลือดสูงผิดปกติ ในผู้ป่วยที่ควบคุมระดับน้ำตาลได้ไม่ดี จะส่งผลให้เกิดภาวะแทรกซ้อนในระยะยาวได้ เช่น ไตวาย ชาปลายมือปลายเท้า จอประสาทตาผิดปกติ ตาบอด แผลเรื้อรัง เป็นต้น
4,CV004,cardiovascular,cardiovascular,,HT,โรคความดันโลหิตสูง (hypertension),3,2,6,1,2,6,12,7,วัดความดัน,DASH diet ลดโซเดียม,"สารสกัดจากเมล็ดองุ่น 
ตัวเลือกเช่นถังเช่าธิเบต หรือโสมเกาหลี (ควรใช้ภายใต้ความดูแลของผู้เชี่ยวชาญ)","• หลีกเลี่ยงอาหารรสเค็ม โดยบริโภคโซเดียม ไม่เกินวันละ 2 กรัม ซึ่งเทียบเท่ากับเกลือแกง (Sodium Chloride) 1 ช้อนชา (5 กรัม)
• ลองแนวทางอาการบริโภคอาหารแบบ DASH diet ลดโซเดียม",• พบแพทย์เพื่อตรวจคัดกรองโรค เช่น ค่า Prostate-specific antigen (PSA) ในเลือด และการตรวจทางทวารหนัก (digital rectal exam) ,"โรคความดันโลหิตสูง หมายถึง ภาวะที่ความดันช่วงบน (Systolic blood pressure, SBP) มีค่าตั้งแต่ 140 มิลลิเมตรปรอทขึ้นไป และ/หรือความดันช่วงล่าง (Diastolic blood pressure, DBP) มีค่าตั้งแต่ 90 มิลลิเมตรปรอทขึ้นไป ความดันโลหิตที่สูงขึ้น จะส่งผลให้หัวใจทำงานหนักขึ้น และหลอดเลือดแดงผิดปกติ"
5,CV005,cardiovascular,cardiovascular,,Dyslipidimia,ภาวะไขมันในเลือดสูง (dyslipidemia),2,3,6,1,2,6,12,9,กินอาหารมันๆ,เปลี่ยนมาบริโภคน้ำมันที่่ดีต่อหัวใจ เช่นน้ำมันรำข้าว,"-Tocotrienol   น้ำมันปลา สารจำพวก Plant Stanol หรือ Nicotinic acid 
-Dietary Fiber Red Yeast Rice","• เลือกรับประทาน เน้นผัก ผลไม้ หลีกเลี่ยงอาหารที่มีไขมันสูง โดยเฉพาะ ไขมันอิ่มตัว และไขมันทรานส์ 
• ควบคุมน้ำหนัก ให้มีค่า BMI อยู่ระหว่าง 18.5 – 22.9 และเส้นรอบเอว ไม่เกิน 90 ซม. (36 นิ้ว) ในผู้ชาย หรือ 80 ซม. (32 นิ้ว) ในผู้หญิง","• พบแพทย์เพื่อตรวจร่างกาย และอาจตรวจเพิ่มเติม เช่น CT scan, MRI, ultrasound เป็นต้น",ไขมันในเลือดสูง ในระยะเริ่มต้น มักไม่มีอาการ เมื่อไขมันไปเกาะตามผนังหลอดเลือดในปริมาณมาก จะส่งผลทำให้หลอดเลือดตีบแข็ง (atherosclerosis) เลือดไหลเวียนไม่สะดวก ก่อให้เกิดภาวะแทรกซ้อนได้ เช่น โรคหลอดเลือดหัวใจ โรคหลอดเลือดสมอง (อัมพฤกษ์ อัมพาต) โรคหลอดเลือดส่วนปลาย และโรคไตวาย เป็นต้น
1,DS001,common_disease,chest_abdo,,Fatty_liver,โรคไขมันพอกตับที่ไม่ได้เกิดจากแอลกอฮอล์ (non-alcoholic fatty liver disease),2,3,6,1,2,6,12,11,,,"สารสกัดถั่วขาวและ Antioxidant อย่างวิตามิน E, Quercetin ร่วมกับสารสกัดชาเขียว, Hisperidin และ Citrus ","• เลี่ยงอาหารที่มีน้ำตาลฟรุกโตสสูง ซึ่งพบมากในน้ำตาลทราย ไซรัป และหลีกเลี่ยงอาหารไขมันสูง
• ควบคุมน้ำหนัก ให้มีค่า BMI อยู่ระหว่าง 18.5 – 22.9 และเส้นรอบเอว ไม่เกิน 90 ซม. (36 นิ้ว) ในผู้ชาย หรือ 80 ซม. (32 นิ้ว) ในผู้หญิง",• พบแพทย์เพื่อตรวจภายใน และอาจตรวจเพิ่มเติม เช่น อัลตราซาวนด์ (transvaginal ultrasound) และตรวจหาระดับ tumor marker ในเลือด เช่น CA-125,โรคไขมันพอกตับที่ไม่ได้เกิดจากแอลกอฮอล์  เป็นภาวะมีการสะสมไขมันในตับ โดยพบในคนที่ไม่ดื่ม หรือบริโภคแอลกอฮอล์ปริมาณน้อย สาเหตุยังไม่ทราบแน่ชัด โดยพบว่ามีความสัมพันธ์กับโรคทางเมตาบอลิก เช่น โรคอ้วน เบาหวาน ความดันโลหิตสูง ไขมันในเลือดสูง เป็นต้น
2,DS002,common_disease,chest_abdo,,Gallstone,โรคนิ่วในถุงน้ำดี (gallstone),2,1,2,1,2,2,4,,,,,,• วัคซีนโควิด19 จะช่วยกระตุ้นภูมิคุ้มกัน ลดการติดเชื้อ ลดการป่วยหนัก และลดอัตราการเสียชีวิต,
3,DS003,common_disease,chest_abdo,,IBD,โรคลำไส้อักเสบเรื้อรัง (inflammatory bowel disease),1,1,1,1,2,1,2,,,,,,• เมื่อมีความเสี่ยงจะได้รับเชื้อ แนะนำพบแพทย์ตรวจ HIV test และตรวจโรคติดต่อทางเพศสัมพันธ์ที่เกี่ยวข้อง,
4,DS004,common_disease,joint,,Gout,โรคเกาต์ (gout),2,3,6,1,2,6,12,14,ปวดข้อ,,น้ำมันปลา และสารสกัดขมิ้นชัน  Chromium-Vanadium จะช่วยทำให้น้ำตาลในเลือดลดลงอย่างมีประสิทธิภาพ,"•  หลีกเลี่ยงอาหารที่มีกรดยูริกสูง เช่น เครื่องในสัตว์ อาหารทะเล เครื่องดื่มแอลกอฮอล์ และเครื่องดื่มที่มีน้ำตาลฟรุกโตสสูง เช่น น้ำผลไม้ น้ำอัดลม
",,โรคเกาต์ เป็นโรคข้ออักเสบที่พบบ่อย เกิดจากมีระดับกรดยูริกในเลือดสูงกว่าปกติ ทำให้มีการตกตะกอนของยูริคเป็นผลึกในข้อ ซึ่งกระตุ้นให้เกิดข้ออักเสบขึ้น จะมีอาการปวด บวมแดง ร้อนบริเวณข้ออย่างฉับพลัน 
5,DS005,common_disease,joint,,Osteoarthritis,โรคข้อเสื่อม (osteoarthritis),2,1,2,1,2,2,4,,,,,,,
6,DS006,common_disease,joint,,SLE,โรคเอสแอลอี (systemic lupus erythematosus),2,1,2,1,2,2,4,,,,,,,
7,DS007,common_disease,urogenital,,CKD,โรคไตเรื้อรัง (chronic kidney disease),3,2,6,1,2,6,12,8,,DASH diet,อาหารเสริมที่ลดภาวะ acidosis ของร่างกาย ด้วยโซดามิ้นท์ เสริมการทำงานของไตและระบบขับถ่ายเช่น สารสกัด Juniper และ Parsley,"• หลีกเลี่ยงอาหารที่มีน้ำตาลสูง ไขมันสูง และอาหารรสเค็ม โดยบริโภคโซเดียม ไม่เกินวันละ 2 กรัม ซึ่งเทียบเท่ากับเกลือแกง (Sodium Chloride) 1 ช้อนชา (5 กรัม)
",,โรคไตเรื้อรัง คือ ภาวะที่ไตเสื่อมลง ส่งผลให้การทำงานของไตลดลง ทั้งการรักษาสมดุลของเกลือแร่ ปริมาณน้ำ และการกำจัดของเสียจากร่างกาย ในระยะเริ่มแรกอาจไม่มีอาการใด ๆ แต่ตรวจเลือดพบความผิดปกติ จนเมื่อการทำงานของไตลดลงมาก อาจมีอาการรุนแรงจนไตวายได้
8,DS008,common_disease,eent,,Allergic_rhinitis,โรคจมูกอักเสบจากภูมิแพ้ (allergic rhinitis),1,1,1,1,2,1,2,,,,,,,
9,DS009,common_disease,chest_abdo,,COPD,โรคปอดอุดกั้นเรื้อรัง (chronic obstructive pulmonary disease)​,2,2,4,1,2,4,8,,,,,,,
10,DS010,common_disease,eent,,Glaucoma,โรคต้อหิน (glaucoma),2,1,2,1,2,2,4,,,,,,,
11,DS011,common_disease,eent,,AMD,"โรคจอประสาทตาเสื่อมจากอายุ (age-related macular degeneration, AMD)",2,1,2,1,2,2,4,,,,,,,
1,ID001,infectious,infectious,,Strep_throat,คออักเสบจากเชื้อแบคทีเรีย (strep throat),1,1,1,1,2,1,2,,,,,,,
2,ID002,infectious,infectious,,Scarlet_fever,ไข้อีดำอีแดง (scarlet fever),1,1,1,1,2,1,2,,,,,,,
3,ID003,infectious,infectious,,Pneumonia,ปอดอักเสบ (pneumonia),2,1,2,1,2,2,4,,,,,,,
4,ID004,infectious,infectious,,Bacterial_Meningitis,โรคเยื่อหุ้มสมองอักเสบจากเชื้อแบคทีเรีย (bacterial meningitis),2,1,2,1,2,2,4,,,,,,,
5,ID005,infectious,infectious,,TB,วัณโรค (tuberculosis),2,1,2,1,2,2,4,,,,,,,
6,ID006,infectious,infectious,,UTI,โรคติดเชื้อทางเดินปัสสาวะ (urinary tract infection),1,1,1,1,2,1,2,,,,,,,
7,ID007,infectious,infectious,,Mumps,คางทูม (mumps),1,1,1,1,2,1,2,,,,,,,
8,ID008,infectious,infectious,,Shingle,งูสวัด (shingles),1,1,1,1,2,1,2,,,,,,,
9,ID009,infectious,infectious,,Hepatitis_B,ไวรัสตับอักเสบ ชนิดบี (hepatitis B),1,1,1,1,2,1,2,,,,,,,
10,ID010,infectious,infectious,,Hepatitis_C,ไวรัสตับอักเสบ ชนิดซี (hepatitis C),1,1,1,1,2,1,2,,,,,,,
11,ID011,infectious,infectious,,Leprosy,โรคเรื้อน (leprosy),2,1,2,1,2,2,4,,,,,,,
12,ID012,infectious,infectious,,Cold_sore,เริมที่ปาก (cold sore),1,1,1,1,2,1,2,,,,,,,
13,ID013,infectious,infectious,,Plantar_wart,หูด (plantar wart),1,1,1,1,2,1,2,,,,,,,
14,ID014,infectious,infectious,,Yeast,การติดเชื้อราในสตรี (vulvovaginal candidiasis),1,1,1,1,2,1,2,,,,,,,
15,ID015,infectious,infectious,,AIDS,โรคเอดส์ (AIDS),3,3,9,1,2,9,18,19,,,,"• สวมถุงยางอนามัยเมื่อมีเพศสัมพันธ์ 
• งดใช้ของมีคม เข็มฉีดยา มีดโกน ร่วมกับผู้อื่น",,การดำเนินโรคตั้งแต่การติดเชื้อ HIV จนเป็นโรคเอดส์ จะเร็วช้าต่างกันในแต่ละบุคคล บางคนติดเชื้อ HIV แต่ไม่มีอาการของโรคเอดส์ หรือบางคนพัฒนาไปเป็นโรคเอดส์อย่างรวดเร็ว โดยมีหลายปัจจัยที่เกี่ยวข้อง เช่น สุขภาพ อายุ ปัจจัยพันธุกรรมบางอย่าง การติดเชื้อที่พบร่วม เป็นต้น
16,ID016,infectious,infectious,,COVID,โรคโควิด19 (COVID-19),3,3,9,1,2,9,18,18,,,"-วิตามิน C และ B D3 Zinc เสริมภูมิคุ้มกัน 
-N-acetylcysteine ลดการอักเสบในปอด","• สวมหน้ากากอนามัย
• ล้างมือบ่อยๆ ด้วยน้ำและสบู่ หรือน้ำยาแอลกอฮอล์ล้างมือ 70% ",,โรคโควิด19 มีความรุนแรงของโรคแตกต่างกันจากหลายปัจจัย เช่น อายุที่มากขึ้น โดยเฉพาะผู้สูงอายุ >65ปี รวมถึงผู้ที่มีโรคประจำตัวบางโรค นอกจากนั้น ปัจจัยทางพันธุกรรม พบว่าคนที่มีรูปแบบของ DNA บางรูปแบบ จะทำให้มีโอกาสติดเชื้อง่ายกว่าประชากรทั่วไป และ DNA บางรูปแบบ ส่งผลต่อความรุนแรงของโรค เช่น ปอดอักเสบรุนแรง